sample_id	candidate	karyotype	quality
CGA009	inv_LG28_INV_001	1/1	high
CGA010	inv_LG28_INV_001	0/1	high
CGA021	inv_LG28_INV_001	0/1	high
CGA022	inv_LG28_INV_001	1/1	high
CGA033	inv_LG28_INV_001	0/0	high
CGA034	inv_LG28_INV_001	0/1	high
CGA045	inv_LG28_INV_001	1/1	high
CGA046	inv_LG28_INV_001	0/0	high
CGA057	inv_LG28_INV_001	0/1	high
CGA058	inv_LG28_INV_001	0/1	high
CGA070	inv_LG28_INV_001	0/0	high
CGA072	inv_LG28_INV_001	1/1	high
CGA073	inv_LG28_INV_001	1/1	high
CGA074	inv_LG28_INV_001	0/1	high
CGA079	inv_LG28_INV_001	0/0	high
CGA080	inv_LG28_INV_001	0/1	high
CGA083	inv_LG28_INV_001	0/1	high
CGA084	inv_LG28_INV_001	0/1	high
CGA085	inv_LG28_INV_001	0/0	high
CGA086	inv_LG28_INV_001	1/1	high
CGA091	inv_LG28_INV_001	0/0	high
CGA092	inv_LG28_INV_001	1/1	high
CGA095	inv_LG28_INV_001	0/1	high
CGA096	inv_LG28_INV_001	0/0	high
CGA097	inv_LG28_INV_001	0/1	high
CGA098	inv_LG28_INV_001	0/1	high
CGA107	inv_LG28_INV_001	1/1	high
CGA108	inv_LG28_INV_001	0/0	high
CGA109	inv_LG28_INV_001	1/1	high
CGA119	inv_LG28_INV_001	0/0	high
CGA120	inv_LG28_INV_001	0/1	high
CGA121	inv_LG28_INV_001	0/1	high
CGA122	inv_LG28_INV_001	0/0	high
CGA131	inv_LG28_INV_001	0/1	high
CGA141	inv_LG28_INV_001	0/1	high
CGA143	inv_LG28_INV_001	1/1	high
CGA153	inv_LG28_INV_001	0/1	high
CGA154	inv_LG28_INV_001	0/1	high
CGA155	inv_LG28_INV_001	0/0	high
CGA162	inv_LG28_INV_001	0/1	high
CGA163	inv_LG28_INV_001	0/0	high
CGA164	inv_LG28_INV_001	0/1	high
CGA165	inv_LG28_INV_001	1/1	high
CGA166	inv_LG28_INV_001	0/1	high
CGA167	inv_LG28_INV_001	1/1	high
CGA174	inv_LG28_INV_001	0/1	high
CGA175	inv_LG28_INV_001	1/1	high
CGA176	inv_LG28_INV_001	0/1	high
CGA177	inv_LG28_INV_001	1/1	high
CGA178	inv_LG28_INV_001	0/0	high
CGA179	inv_LG28_INV_001	0/0	high
CGA186	inv_LG28_INV_001	1/1	high
CGA187	inv_LG28_INV_001	0/0	high
CGA188	inv_LG28_INV_001	0/0	high
CGA189	inv_LG28_INV_001	1/1	high
CGA190	inv_LG28_INV_001	0/0	high
CGA191	inv_LG28_INV_001	1/1	high
CGA199	inv_LG28_INV_001	1/1	high
CGA200	inv_LG28_INV_001	0/1	high
CGA201	inv_LG28_INV_001	0/1	high
CGA202	inv_LG28_INV_001	0/1	high
CGA203	inv_LG28_INV_001	0/0	high
CGA210	inv_LG28_INV_001	1/1	high
CGA211	inv_LG28_INV_001	0/1	high
CGA212	inv_LG28_INV_001	0/1	high
CGA213	inv_LG28_INV_001	0/0	high
CGA214	inv_LG28_INV_001	0/1	high
CGA215	inv_LG28_INV_001	0/0	high
CGA222	inv_LG28_INV_001	0/1	high
CGA223	inv_LG28_INV_001	1/1	high
CGA224	inv_LG28_INV_001	0/1	high
CGA225	inv_LG28_INV_001	1/1	high
CGA226	inv_LG28_INV_001	0/1	high
CGA227	inv_LG28_INV_001	0/1	high
CGA228	inv_LG28_INV_001	1/1	high
CGA229	inv_LG28_INV_001	1/1	high
CGA230	inv_LG28_INV_001	0/1	high
CGA231	inv_LG28_INV_001	0/0	high
CGA232	inv_LG28_INV_001	0/1	high
CGA233	inv_LG28_INV_001	0/0	high
CGA234	inv_LG28_INV_001	0/1	high
CGA235	inv_LG28_INV_001	0/1	high
CGA236	inv_LG28_INV_001	0/0	high
CGA237	inv_LG28_INV_001	0/1	high
CGA238	inv_LG28_INV_001	0/1	high
CGA239	inv_LG28_INV_001	0/0	high
CGA240	inv_LG28_INV_001	0/0	high
CGA241	inv_LG28_INV_001	1/1	high
CGA242	inv_LG28_INV_001	0/1	high
CGA243	inv_LG28_INV_001	0/1	high
CGA244	inv_LG28_INV_001	0/1	high
CGA245	inv_LG28_INV_001	1/1	high
CGA247	inv_LG28_INV_001	0/0	high
CGA248	inv_LG28_INV_001	0/1	high
CGA249	inv_LG28_INV_001	0/0	high
CGA250	inv_LG28_INV_001	0/1	high
CGA251	inv_LG28_INV_001	0/0	high
CGA252	inv_LG28_INV_001	0/1	high
CGA253	inv_LG28_INV_001	0/0	high
CGA254	inv_LG28_INV_001	0/1	high
CGA255	inv_LG28_INV_001	0/0	high
CGA256	inv_LG28_INV_001	0/0	high
CGA257	inv_LG28_INV_001	1/1	high
CGA259	inv_LG28_INV_001	0/1	high
CGA260	inv_LG28_INV_001	0/0	high
CGA261	inv_LG28_INV_001	1/1	high
CGA262	inv_LG28_INV_001	1/1	high
CGA263	inv_LG28_INV_001	0/1	high
CGA264	inv_LG28_INV_001	0/1	high
CGA265	inv_LG28_INV_001	0/1	high
CGA266	inv_LG28_INV_001	1/1	high
CGA267	inv_LG28_INV_001	1/1	high
CGA268	inv_LG28_INV_001	0/1	high
CGA269	inv_LG28_INV_001	0/1	high
CGA272	inv_LG28_INV_001	0/0	high
CGA273	inv_LG28_INV_001	0/0	high
CGA274	inv_LG28_INV_001	0/0	high
CGA275	inv_LG28_INV_001	0/1	high
CGA276	inv_LG28_INV_001	1/1	high
CGA277	inv_LG28_INV_001	0/1	high
CGA278	inv_LG28_INV_001	1/1	high
CGA279	inv_LG28_INV_001	0/1	high
CGA280	inv_LG28_INV_001	0/1	high
CGA281	inv_LG28_INV_001	0/1	high
CGA283	inv_LG28_INV_001	0/0	high
CGA284	inv_LG28_INV_001	1/1	high
CGA285	inv_LG28_INV_001	0/1	high
CGA286	inv_LG28_INV_001	0/0	high
CGA287	inv_LG28_INV_001	0/1	high
CGA288	inv_LG28_INV_001	0/1	high
CGA289	inv_LG28_INV_001	0/0	high
CGA290	inv_LG28_INV_001	0/0	high
CGA291	inv_LG28_INV_001	0/0	high
CGA292	inv_LG28_INV_001	1/1	high
CGA293	inv_LG28_INV_001	1/1	high
CGA294	inv_LG28_INV_001	1/1	high
CGA295	inv_LG28_INV_001	1/1	high
CGA296	inv_LG28_INV_001	0/1	high
CGA297	inv_LG28_INV_001	1/1	high
CGA298	inv_LG28_INV_001	0/0	high
CGA299	inv_LG28_INV_001	0/0	high
CGA302	inv_LG28_INV_001	1/1	high
CGA303	inv_LG28_INV_001	1/1	high
CGA304	inv_LG28_INV_001	0/1	high
CGA305	inv_LG28_INV_001	0/1	high
CGA306	inv_LG28_INV_001	0/1	high
CGA307	inv_LG28_INV_001	0/1	high
CGA308	inv_LG28_INV_001	0/1	high
CGA309	inv_LG28_INV_001	0/1	high
CGA310	inv_LG28_INV_001	1/1	high
CGA311	inv_LG28_INV_001	0/1	high
CGA312	inv_LG28_INV_001	0/1	high
CGA313	inv_LG28_INV_001	0/1	high
CGA314	inv_LG28_INV_001	0/1	high
CGA315	inv_LG28_INV_001	0/1	high
CGA316	inv_LG28_INV_001	0/0	high
CGA317	inv_LG28_INV_001	1/1	high
CGA318	inv_LG28_INV_001	0/0	high
CGA319	inv_LG28_INV_001	0/1	high
CGA320	inv_LG28_INV_001	0/0	high
CGA321	inv_LG28_INV_001	0/1	high
CGA322	inv_LG28_INV_001	0/1	high
CGA323	inv_LG28_INV_001	1/1	high
CGA324	inv_LG28_INV_001	0/1	high
CGA325	inv_LG28_INV_001	0/1	high
CGA326	inv_LG28_INV_001	1/1	high
CGA327	inv_LG28_INV_001	1/1	high
CGA328	inv_LG28_INV_001	1/1	high
CGA329	inv_LG28_INV_001	0/1	high
CGA331	inv_LG28_INV_001	0/1	high
CGA332	inv_LG28_INV_001	1/1	high
CGA333	inv_LG28_INV_001	1/1	high
CGA334	inv_LG28_INV_001	0/0	high
CGA335	inv_LG28_INV_001	0/0	high
CGA336	inv_LG28_INV_001	0/0	high
CGA337	inv_LG28_INV_001	1/1	high
CGA338	inv_LG28_INV_001	0/1	high
CGA339	inv_LG28_INV_001	0/0	high
CGA340	inv_LG28_INV_001	0/1	high
CGA341	inv_LG28_INV_001	0/1	high
CGA342	inv_LG28_INV_001	0/0	high
CGA343	inv_LG28_INV_001	1/1	high
CGA344	inv_LG28_INV_001	0/1	high
CGA345	inv_LG28_INV_001	0/1	high
CGA346	inv_LG28_INV_001	1/1	high
CGA347	inv_LG28_INV_001	0/0	high
CGA348	inv_LG28_INV_001	0/1	high
CGA349	inv_LG28_INV_001	0/1	high
CGA350	inv_LG28_INV_001	0/0	high
CGA351	inv_LG28_INV_001	1/1	high
CGA353	inv_LG28_INV_001	0/0	high
CGA354	inv_LG28_INV_001	0/1	high
CGA355	inv_LG28_INV_001	0/1	high
CGA356	inv_LG28_INV_001	0/1	high
CGA357	inv_LG28_INV_001	0/0	high
CGA358	inv_LG28_INV_001	0/1	high
CGA359	inv_LG28_INV_001	0/0	high
CGA362	inv_LG28_INV_001	0/1	high
CGA371	inv_LG28_INV_001	1/1	high
CGA373	inv_LG28_INV_001	1/1	high
CGA374	inv_LG28_INV_001	1/1	high
CGA383	inv_LG28_INV_001	1/1	high
CGA385	inv_LG28_INV_001	0/0	high
CGA386	inv_LG28_INV_001	0/1	high
CGA395	inv_LG28_INV_001	0/0	high
CGA397	inv_LG28_INV_001	0/1	high
CGA398	inv_LG28_INV_001	0/1	high
CGA407	inv_LG28_INV_001	0/1	high
CGA409	inv_LG28_INV_001	1/1	high
CGA410	inv_LG28_INV_001	0/1	high
CGA419	inv_LG28_INV_001	1/1	high
CGA421	inv_LG28_INV_001	0/0	high
CGA422	inv_LG28_INV_001	0/1	high
CGA431	inv_LG28_INV_001	0/0	high
CGA434	inv_LG28_INV_001	0/1	high
CGA436	inv_LG28_INV_001	1/1	high
CGA437	inv_LG28_INV_001	0/1	high
CGA443	inv_LG28_INV_001	1/1	high
CGA445	inv_LG28_INV_001	1/1	high
CGA446	inv_LG28_INV_001	0/1	high
CGA448	inv_LG28_INV_001	0/1	high
CGA449	inv_LG28_INV_001	0/0	high
CGA457	inv_LG28_INV_001	0/1	high
CGA460	inv_LG28_INV_001	1/1	high
CGA461	inv_LG28_INV_001	0/0	high
CGA69	inv_LG28_INV_001	0/1	high
